,200 ms,200 ms.1,location,frequency,noise level,neural threshold,Neural Threshold from fit line,Neural Threshold Standard Deviation,Neural Slope,Behavioral Thresh,Behavioral Threshold from fit line
2,tank110323a,~OurData-7,IC,700,44.0,8.71,10.1,1.68,0.0332,34.3,32.3
3,tank110323a,~OurData-8,IC,700,34.0,17.3,16.7,1.57,0.0355,27.1,25.5
4,tank110322a,~OurData-9,IC,700,44.0,22.6,23.9,2.08,0.0315,33.7,20.4
5,tank110322a,~OurData-10,IC,700,34.0,13.9,13.4,4.32,0.0145,27.9,29.5
7,tank110324a,~OurData-6,IC,1000,34.0,1.9,1.52,2.32,0.0279,25.2,22.6
9,tank110325a,~OurData-7,IC,1200,44.0,25.4,25.1,2.08,0.0257,38.0,37.1
10,tank110325a,~OurData-8,IC,1200,34.0,28.4,30.6,6.78,0.00267,28.6,28.9
12,tank110328a,~OurData-6,IC,610,34.0,16.5,16.0,2.31,0.0257,26.0,25.3
13,tank110328a,~OurData-8,IC,610,44.0,21.9,21.9,2.05,0.0307,36.0,32.9
15,tank110329a,~OurData-10,IC,5100,44.0,23.7,24.0,2.15,0.0296,39.0,37.9
16,tank110329a,~OurData-11,IC,5100,34.0,17.1,17.7,2.75,0.0222,29.7,31.6
18,tank110330a,~OurData-6,IC,20500,34.0,30.3,29.2,13.0,0.0269,34.9,32.4
19,tank110330a,~OurData-7,IC,20500,44.0,31.0,38.5,7.79,0.0267,43.3,42.1
21,tank110331a,~OurData-8,IC,1200,34.0,23.0,24.7,5.21,0.0161,28.8,29.1
22,tank110331a,~OurData-9,IC,1200,44.0,23.0,23.2,2.08,0.0294,37.1,36.5
23,tank110324a,~OurData-5,IC,1000,44.0,8.01,6.57,1.98,0.0344,28.9,31.0
25,tank110401a,~OurData-6,IC,1200,34.0,21.7,23.4,5.5,0.0216,26.6,23.3
26,tank110401a,~OurData-7,IC,1200,44.0,26.7,18.2,3.16,0.0198,37.4,40.9
28,tank110407a,~OurData-7,IC,850,34.0,17.3,18.0,3.68,0.0217,26.2,24.6
29,tank110407a,~OurData-8,IC,850,44.0,24.0,32.4,2.0,0.0346,38.1,41.3
31,tank110408a,~OurData-10,IC,1950,34.0,12.4,12.9,2.65,0.0252,22.9,22.2
32,tank110408a,~OurData-11,IC,1950,44.0,21.1,22.0,1.48,0.0351,34.3,32.6
